,hostname,planet_letter,ra,dec,parallax,parallax_error,distance,distance_error,dist_error_pct
167,HD 33844,b,78.150420999999994,-14.951110999999999,9.4574373478540306,0.42137397430943196,105.73688867491235,4.7110830739123664,4.4554773012061784
168,HD 33844,c,78.150420999999994,-14.951110999999999,9.4574373478540306,0.42137397430943196,105.73688867491235,4.7110830739123664,4.4554773012061784
169,HD 35759,b,82.888962000000006,64.318779000000006,14.112788276641693,0.41434769601453353,70.857719991103124,2.0803637415683696,2.935973302315654
170,HD 38801,b,86.996566999999999,-8.3277000000000001,10.955809406564253,0.40494358369093369,91.275775516945629,3.3736931951239839,3.6961539642001147
171,HD 41004 A,b,89.956871000000007,-48.239693000000003,27.254510649488019,0.6336696509640477,36.691174274258536,0.85307286910569469,2.3250083595830451
172,HD 41004 B,b,89.956885999999997,-48.239840999999998,27.254510649488019,0.6336696509640477,36.691174274258536,0.85307286910569469,2.3250083595830451
173,HD 4113,b,10.802486,-37.982632000000002,23.986508340193016,0.38263561984166056,41.69010286188044,0.66504545486881161,1.595211834981821
174,HD 4313,b,11.41816,7.845021,7.5594647765674727,0.47748720915952025,132.28449758768107,8.3556385848909365,6.3164155568211129
175,HD 43691,b,94.894485000000003,41.092303999999999,11.73055709360824,0.39879110187682548,85.247443239066726,2.8980654158371806,3.3995921821489556
176,HD 44219,b,95.059676999999994,-10.725009,18.927335848930564,0.3875089220707586,52.833637442773131,1.0816897876138805,2.0473505894526287
177,HD 47536,b,99.448409999999996,-32.339733000000003,7.9543394677552328,0.64442693426347475,125.71754123063678,10.185103364876182,8.1015769678401259
178,HD 48265,b,100.007195,-48.541953999999997,11.139964962943262,0.36773210818118501,89.766889153284424,2.96322003731711,3.3010167393204033
179,HD 49674,b,102.877151,40.867756,23.336829354479253,0.37690285445814747,42.850722555764023,0.69206315054798384,1.6150559646861584
180,HD 50499,b,103.008438,-33.915562000000001,21.729306700518922,0.53303423145419748,46.020796419432877,1.1289205030069673,2.4530659850342489
181,HD 50554,b,103.678436,24.245557999999999,32.587146994954523,0.42794848717619277,30.686945382326051,0.4029942189924815,1.3132431852424888
182,HD 5319,b,13.755836,0.78955299999999995,8.3581075645663834,0.40217178874953374,119.64430850823584,5.7569928592985979,4.8117565566458262
183,HD 5319,c,13.755836,0.78955299999999995,8.3581075645663834,0.40217178874953374,119.64430850823584,5.7569928592985979,4.8117565566458262
184,HD 5608,b,14.559246,33.950885999999997,17.134766085421841,0.44377709875311883,58.360878404450126,1.5115013050014923,2.5899221299010424
185,HD 564,b,2.470091,-50.267822000000002,19.762668730476353,0.45777926835555294,50.600453493301877,1.1721007367239606,2.3163838578622915
186,HD 5891,b,15.138299999999999,20.292484000000002,3.6699699062452624,0.40982199899245153,272.48179836523445,30.42777955891928,11.166903529509851
187,HD 63454,b,114.841049,-78.278969000000004,26.268339742190957,0.38328699147639744,38.068641178484825,0.55546772617152618,1.4591214946895943
188,HD 67087,b,121.915649,31.551318999999999,13.000766574715257,0.40650130725147521,76.918541245472824,2.4050495321539174,3.1267487568161214
189,HD 67087,c,121.915649,31.551318999999999,13.000766574715257,0.40650130725147521,76.918541245472824,2.4050495321539174,3.1267487568161214
190,HD 68988,b,124.592384,61.460723999999999,16.679009198206309,0.38508989309846137,59.955599767133755,1.3842726046018747,2.3088295504979675
191,HD 70573,b,125.708135,1.8593230000000001,17.460355948987907,0.42420481358044654,57.272601023804746,1.3914557705210282,2.4295313040570381
192,HD 75898,b,133.46168499999999,33.056812000000001,13.010293277666191,0.40499270902715934,76.862218142048036,2.3926161603613298,3.1128637947184505
193,HD 7924,b,20.496313000000001,76.710280999999995,58.792785020420716,0.38467511560321821,17.008889775380879,0.1112874077721351,0.65428966406270361
194,HD 7924,c,20.496313000000001,76.710280999999995,58.792785020420716,0.38467511560321821,17.008889775380879,0.1112874077721351,0.65428966406270361
195,HD 7924,d,20.496313000000001,76.710280999999995,58.792785020420716,0.38467511560321821,17.008889775380879,0.1112874077721351,0.65428966406270361
196,HD 80606,b,140.65654000000001,50.603721999999998,15.334299395886365,0.39758754464617574,65.21328260150338,1.6908492679361953,2.59279889078489
197,HD 82886,b,143.93826300000001,34.780743000000001,7.814360691509008,0.39422835756235952,127.96952168929037,6.4559618304319137,5.0449214353609682
198,HD 83443,b,144.299286,-43.272205,24.740881422076384,0.37534046488334905,40.418931845641367,0.6131899834213026,1.517086066903143
